gene_id	go_id	GO_LEVEL	METAGO_L2	METAGO_L3	METAGO_L4	METAGO_L5
Pa_6_4830	GO:0005634	6	GO:0110165	GO:0043226	GO:0043227|GO:0043229	GO:0043231
Pa_6_4830	GO:0005694	6	GO:0110165	GO:0043226	GO:0043228|GO:0043229	GO:0043232
Pa_6_4830	GO:0006464	7	GO:0008152|GO:0009987	GO:0006807|GO:0044238|GO:0044237|GO:0071704	GO:0043170|GO:1901564	GO:0043412|GO:0019538|GO:0044260
Pa_6_4830	GO:0006629	4	GO:0008152	GO:0044238|GO:0071704	GO:0006629	GO:0006629
Pa_6_4830	GO:0006996	5	GO:0009987	GO:0071840	GO:0016043	GO:0006996
Pa_6_4830	GO:0007049	3	GO:0009987	GO:0007049	GO:0007049	GO:0007049
Pa_6_4830	GO:0016791	6	GO:0003824	GO:0016787	GO:0016788	GO:0042578
Pa_6_4830	GO:0032502	2	GO:0032502	GO:0032502	GO:0032502	GO:0032502
Pa_6_4830	GO:0050789	3	GO:0065007	GO:0050789	GO:0050789	GO:0050789
Pa_6_4840	GO:0005215	2	GO:0005215	GO:0005215	GO:0005215	GO:0005215
Pa_6_4840	GO:0005886	4	GO:0110165	GO:0016020	GO:0005886	GO:0005886
Pa_6_4840	GO:0006810	4	GO:0051179	GO:0051234	GO:0006810	GO:0006810
Pa_6_4840	GO:0042221	3	GO:0050896	GO:0042221	GO:0042221	GO:0042221
Pa_6_4850	GO:0005515	3	GO:0005488	GO:0005515	GO:0005515	GO:0005515
Pa_6_4850	GO:0005575	1	GO:0005575	GO:0005575	GO:0005575	GO:0005575
Pa_6_4850	GO:0006457	3	GO:0009987	GO:0006457	GO:0006457	GO:0006457
Pa_6_4860	GO:0005515	3	GO:0005488	GO:0005515	GO:0005515	GO:0005515
